Tipo,Cidade,Estado,Vagas,Quartos,Area,Banheiros,Preco
Casa,São João,Curitiba,10 vagas,4 quartos,1340 m²,10,"R$ 13.000.000,00"
Casa,Cacupé,Florianópolis,5 vagas,5 quartos,580 m²,5,"R$ 13.000.000,00"
Casa,Alphaville Graciosa,Pinhais,6 vagas,4 quartos,585 m²,1,"R$ 7.950.000,00"
Casa,Santa Felicidade,Curitiba,14 vagas,4 quartos,622 m²,7,"R$ 7.800.000,00"
Apartamento,Ecoville,Curitiba,0 vaga,4 quartos,380 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,6 quartos,277 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,277 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,293 m²,4,"R$ 7.211.303,00"
Cobertura,Mossunguê,Curitiba,0 vaga,4 quartos,277 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 7.211.303,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 7.211.303,00"
Casa,São João,Curitiba,7 vagas,3 quartos,1000 m²,7,"R$ 6.900.000,00"
Casa,Alphaville Graciosa,Pinhais,0 vaga,4 quartos,568 m²,6,"R$ 6.560.400,00"
Apartamento,Caioba,Matinhos,3 vagas,4 quartos,341 m²,5,"R$ 5.500.000,00"
Casa,Alphaville Graciosa,Pinhais,6 vagas,4 quartos,550 m²,2,"R$ 5.411.000,00"
Apartamento,Mossunguê,Curitiba,2 vagas,4 quartos,255 m²,0,"R$ 5.209.674,00"
Apartamento,Centro,Balneário Piçarras,3 vagas,3 quartos,338 m²,3,"R$ 4.762.927,08"
Apartamento,Meia Praia,Itapema,4 vagas,8 quartos,211 m²,0,"R$ 4.750.000,00"
Apartamento,Ecoville,Curitiba,4 vagas,5 quartos,535 m²,4,"R$ 4.536.000,00"
Casa,Alphaville Graciosa,Pinhais,5 vagas,4 quartos,740 m²,5,"R$ 4.400.000,00"
Sobrado,Chácaras Renascença,Campina Grande Do Sul,3 vagas,3 quartos,630 m²,6,"R$ 4.300.000,00"
Casa,Vila De Lurdes,Campo Largo,4 vagas,4 quartos,430 m²,2,"R$ 4.300.000,00"
Apartamento,Cabral,Curitiba,6 vagas,4 quartos,731 m²,6,"R$ 4.100.000,00"
Apartamento,América,Joinville,3 vagas,4 quartos,368 m²,6,"R$ 4.060.000,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Ecoville,Curitiba,0 vaga,4 quartos,197 m²,0,"R$ 3.939.288,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,0,"R$ 3.939.288,00"
Apartamento,Caioba,Matinhos,3 vagas,4 quartos,230 m²,5,"R$ 3.920.000,00"
Casa,Vila Isabel,Pato Branco,4 vagas,4 quartos,496 m²,7,"R$ 3.900.000,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,1,"R$ 3.864.135,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,255 m²,0,"R$ 3.864.135,00"
Apartamento,Mossunguê,Curitiba,1 vaga,2 quartos,255 m²,1,"R$ 3.864.135,00"
Casa,Centro,Pato Branco,9 vagas,4 quartos,850 m²,3,"R$ 3.850.000,00"
Sobrado,Itajuba,Barra Velha,2 vagas,5 quartos,300 m²,4,"R$ 3.814.000,00"
Apartamento,Praia Brava De Itajaí,Itajaí,3 vagas,4 quartos,230 m²,1,"R$ 3.768.554,90"
Casa,Butiatuvinha,Curitiba,4 vagas,3 quartos,470 m²,5,"R$ 3.700.000,00"
Apartamento,Cabral,Curitiba,4 vagas,4 quartos,653 m²,0,"R$ 3.700.000,00"
Casa,Campo Comprido,Curitiba,10 vagas,4 quartos,435 m²,5,"R$ 3.500.000,00"
Casa,Alphaville Graciosa,Pinhais,10 vagas,4 quartos,440 m²,4,"R$ 3.500.000,00"
Apartamento,Caioba,Matinhos,3 vagas,4 quartos,315 m²,5,"R$ 3.469.959,00"
Duplex,Centro,Bombinhas,2 vagas,3 quartos,222 m²,3,"R$ 3.368.119,54"
Apartamento,Mossunguê,Curitiba,2 vagas,4 quartos,184 m²,0,"R$ 3.296.473,00"
Casa,Alphaville Graciosa,Pinhais,0 vaga,4 quartos,284 m²,1,"R$ 3.280.000,00"
Casa,Centro,Curitiba,4 vagas,3 quartos,840 m²,5,"R$ 3.200.000,00"
Cobertura,Cabral,Curitiba,3 vagas,3 quartos,471 m²,5,"R$ 3.200.000,00"
Casa,Alphaville Graciosa,Pinhais,3 vagas,4 quartos,383 m²,1,"R$ 3.150.000,00"
Casa,Alphaville Graciosa,Pinhais,8 vagas,4 quartos,344 m²,4,"R$ 3.050.000,00"
Apartamento,Centro,Pato Branco,4 vagas,4 quartos,345 m²,2,"R$ 3.015.000,00"
Cobertura,Centro,Pato Branco,3 vagas,3 quartos,469 m²,4,"R$ 3.001.869,00"
Apartamento,Cacupé,Florianópolis,3 vagas,3 quartos,368 m²,4,"R$ 3.000.000,00"
Casa,Jardim Social,Curitiba,8 vagas,5 quartos,571 m²,8,"R$ 2.998.000,00"
Casa,Campo Comprido,Curitiba,5 vagas,4 quartos,702 m²,8,"R$ 2.990.000,00"
Casa,Pineville,Pinhais,12 vagas,3 quartos,346 m²,5,"R$ 2.950.000,00"
Apartamento,Mossunguê,Curitiba,1 vaga,2 quartos,184 m²,1,"R$ 2.948.453,00"
Apartamento,Mossunguê,Curitiba,0 vaga,4 quartos,184 m²,1,"R$ 2.948.000,00"
Casa,São Luiz,Pato Branco,2 vagas,3 quartos,299 m²,3,"R$ 2.900.000,00"
Casa,Aristocrata,São José Dos Pinhais,3 vagas,3 quartos,480 m²,3,"R$ 2.900.000,00"
Casa,Vila Isabel,Pato Branco,5 vagas,5 quartos,476 m²,1,"R$ 2.900.000,00"
Casa,Jardim Botânico,Curitiba,10 vagas,6 quartos,600 m²,2,"R$ 2.900.000,00"
Casa,Parzianello,Pato Branco,2 vagas,3 quartos,315 m²,2,"R$ 2.869.000,00"
Casa,Seminário,Curitiba,4 vagas,4 quartos,421 m²,7,"R$ 2.850.000,00"
Casa,Centro,Pato Branco,4 vagas,4 quartos,350 m²,2,"R$ 2.850.000,00"
Casa,La Salle,Pato Branco,4 vagas,4 quartos,334 m²,2,"R$ 2.850.000,00"
Casa,Jardim Padre José De Anchieta,Campo Largo,5 vagas,4 quartos,282 m²,3,"R$ 2.800.000,00"
Sobrado,Centro,Guarapuava,3 vagas,4 quartos,390 m²,2,"R$ 2.800.000,00"
Casa,Glória,Joinville,2 vagas,3 quartos,296 m²,2,"R$ 2.700.000,00"
Apartamento,Batel,Curitiba,2 vagas,3 quartos,258 m²,0,"R$ 2.700.000,00"
Casa,Uberaba,Curitiba,4 vagas,4 quartos,303 m²,6,"R$ 2.700.000,00"
Cobertura,Mercês,Curitiba,3 vagas,4 quartos,303 m²,1,"R$ 2.600.000,00"
Apartamento,Batel,Curitiba,2 vagas,3 quartos,258 m²,0,"R$ 2.600.000,00"
Apartamento,Caioba,Matinhos,2 vagas,3 quartos,291 m²,4,"R$ 2.590.000,00"
Casa,Pineville,Pinhais,4 vagas,4 quartos,430 m²,6,"R$ 2.520.000,00"
Apartamento,Carioca,São José Dos Pinhais,2 vagas,3 quartos,226 m²,4,"R$ 2.500.000,00"
Casa,Capão Da Imbuia,Curitiba,6 vagas,3 quartos,350 m²,4,"R$ 2.500.000,00"
Casa,Butiatuvinha,Curitiba,4 vagas,5 quartos,372 m²,6,"R$ 2.500.000,00"
Casa,Brasília,Pato Branco,4 vagas,3 quartos,461 m²,5,"R$ 2.500.000,00"
Casa,Boa Vista,Curitiba,6 vagas,4 quartos,350 m²,6,"R$ 2.500.000,00"
Cobertura,Caioba,Matinhos,2 vagas,3 quartos,224 m²,3,"R$ 2.499.000,00"
Casa,Taboão,Curitiba,4 vagas,4 quartos,346 m²,2,"R$ 2.490.000,00"
Casa,São Luiz,Pato Branco,2 vagas,4 quartos,364 m²,3,"R$ 2.480.000,00"
Casa,Umbará,Curitiba,4 vagas,5 quartos,386 m²,5,"R$ 2.460.000,00"
Apartamento,Batel,Curitiba,2 vagas,3 quartos,258 m²,0,"R$ 2.450.000,00"
Casa,Parque Do Som,Pato Branco,3 vagas,4 quartos,331 m²,5,"R$ 2.450.000,00"
Casa,São Gabriel,Colombo,0 vaga,4 quartos,373 m²,0,"R$ 2.390.000,00"
Apartamento,Meia Praia,Itapema,3 vagas,6 quartos,138 m²,0,"R$ 2.390.000,00"
Casa,La Salle,Pato Branco,2 vagas,3 quartos,280 m²,2,"R$ 2.380.000,00"
