Tipo,Cidade,Estado,Vagas,Quartos,Area,Banheiros,Preco
Casa,São João,Curitiba,10,4,1340,10,1300000000.0
Casa,Cacupé,Florianópolis,5,5,580,5,1300000000.0
Casa,Alphaville Graciosa,Pinhais,6,4,585,1,795000000.0
Casa,Santa Felicidade,Curitiba,14,4,622,7,780000000.0
Apartamento,Ecoville,Curitiba,0,4,380,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,6,277,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,277,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,293,4,721130300.0
Cobertura,Mossunguê,Curitiba,0,4,277,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,721130300.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,721130300.0
Casa,São João,Curitiba,7,3,1000,7,690000000.0
Casa,Alphaville Graciosa,Pinhais,0,4,568,6,656040000.0
Apartamento,Caioba,Matinhos,3,4,341,5,550000000.0
Casa,Alphaville Graciosa,Pinhais,6,4,550,2,541100000.0
Apartamento,Mossunguê,Curitiba,2,4,255,0,520967400.0
Apartamento,Centro,Balneário Piçarras,3,3,338,3,476292708.0
Apartamento,Meia Praia,Itapema,4,8,211,0,475000000.0
Apartamento,Ecoville,Curitiba,4,5,535,4,453600000.0
Casa,Alphaville Graciosa,Pinhais,5,4,740,5,440000000.0
Sobrado,Chácaras Renascença,Campina Grande Do Sul,3,3,630,6,430000000.0
Casa,Vila De Lurdes,Campo Largo,4,4,430,2,430000000.0
Apartamento,Cabral,Curitiba,6,4,731,6,410000000.0
Apartamento,América,Joinville,3,4,368,6,406000000.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Ecoville,Curitiba,0,4,197,0,393928800.0
Apartamento,Mossunguê,Curitiba,0,4,184,0,393928800.0
Apartamento,Caioba,Matinhos,3,4,230,5,392000000.0
Casa,Vila Isabel,Pato Branco,4,4,496,7,390000000.0
Apartamento,Mossunguê,Curitiba,0,4,255,1,386413500.0
Apartamento,Mossunguê,Curitiba,0,4,255,0,386413500.0
Apartamento,Mossunguê,Curitiba,1,2,255,1,386413500.0
Casa,Centro,Pato Branco,9,4,850,3,385000000.0
Sobrado,Itajuba,Barra Velha,2,5,300,4,381400000.0
Apartamento,Praia Brava De Itajaí,Itajaí,3,4,230,1,376855490.0
Casa,Butiatuvinha,Curitiba,4,3,470,5,370000000.0
Apartamento,Cabral,Curitiba,4,4,653,0,370000000.0
Casa,Campo Comprido,Curitiba,10,4,435,5,350000000.0
Casa,Alphaville Graciosa,Pinhais,10,4,440,4,350000000.0
Apartamento,Caioba,Matinhos,3,4,315,5,346995900.0
Duplex,Centro,Bombinhas,2,3,222,3,336811954.0
Apartamento,Mossunguê,Curitiba,2,4,184,0,329647300.0
Casa,Alphaville Graciosa,Pinhais,0,4,284,1,328000000.0
Casa,Centro,Curitiba,4,3,840,5,320000000.0
Cobertura,Cabral,Curitiba,3,3,471,5,320000000.0
Casa,Alphaville Graciosa,Pinhais,3,4,383,1,315000000.0
Casa,Alphaville Graciosa,Pinhais,8,4,344,4,305000000.0
Apartamento,Centro,Pato Branco,4,4,345,2,301500000.0
Cobertura,Centro,Pato Branco,3,3,469,4,300186900.0
Apartamento,Cacupé,Florianópolis,3,3,368,4,300000000.0
Casa,Jardim Social,Curitiba,8,5,571,8,299800000.0
Casa,Campo Comprido,Curitiba,5,4,702,8,299000000.0
Casa,Pineville,Pinhais,12,3,346,5,295000000.0
Apartamento,Mossunguê,Curitiba,1,2,184,1,294845300.0
Apartamento,Mossunguê,Curitiba,0,4,184,1,294800000.0
Casa,São Luiz,Pato Branco,2,3,299,3,290000000.0
Casa,Aristocrata,São José Dos Pinhais,3,3,480,3,290000000.0
Casa,Vila Isabel,Pato Branco,5,5,476,1,290000000.0
Casa,Jardim Botânico,Curitiba,10,6,600,2,290000000.0
Casa,Parzianello,Pato Branco,2,3,315,2,286900000.0
Casa,Seminário,Curitiba,4,4,421,7,285000000.0
Casa,Centro,Pato Branco,4,4,350,2,285000000.0
Casa,La Salle,Pato Branco,4,4,334,2,285000000.0
Casa,Jardim Padre José De Anchieta,Campo Largo,5,4,282,3,280000000.0
Sobrado,Centro,Guarapuava,3,4,390,2,280000000.0
Casa,Glória,Joinville,2,3,296,2,270000000.0
Apartamento,Batel,Curitiba,2,3,258,0,270000000.0
Casa,Uberaba,Curitiba,4,4,303,6,270000000.0
Cobertura,Mercês,Curitiba,3,4,303,1,260000000.0
Apartamento,Batel,Curitiba,2,3,258,0,260000000.0
Apartamento,Caioba,Matinhos,2,3,291,4,259000000.0
Casa,Pineville,Pinhais,4,4,430,6,252000000.0
Apartamento,Carioca,São José Dos Pinhais,2,3,226,4,250000000.0
Casa,Capão Da Imbuia,Curitiba,6,3,350,4,250000000.0
Casa,Butiatuvinha,Curitiba,4,5,372,6,250000000.0
Casa,Brasília,Pato Branco,4,3,461,5,250000000.0
Casa,Boa Vista,Curitiba,6,4,350,6,250000000.0
Cobertura,Caioba,Matinhos,2,3,224,3,249900000.0
Casa,Taboão,Curitiba,4,4,346,2,249000000.0
Casa,São Luiz,Pato Branco,2,4,364,3,248000000.0
Casa,Umbará,Curitiba,4,5,386,5,246000000.0
Apartamento,Batel,Curitiba,2,3,258,0,245000000.0
Casa,Parque Do Som,Pato Branco,3,4,331,5,245000000.0
Casa,São Gabriel,Colombo,0,4,373,0,239000000.0
Apartamento,Meia Praia,Itapema,3,6,138,0,239000000.0
Casa,La Salle,Pato Branco,2,3,280,2,238000000.0
Casa,São João,Curitiba,10,4,314,3,235000000.0
Apartamento,Pioneiros,Balneário Camboriú,3,4,211,4,235000000.0
Apartamento,Centro,Pato Branco,3,3,333,4,230000000.0
Casa,Gaivotas,Matinhos,7,4,357,6,230000000.0
Apartamento,Cabral,Curitiba,3,4,343,1,230000000.0
Casa,Jardim Botânico,Curitiba,4,4,420,1,229000000.0
Casa,La Salle,Pato Branco,2,3,365,4,229000000.0
Casa,P. Quatro Barras,Quatro Barras,3,5,380,3,225000000.0
Casa,Santo Inácio,Curitiba,3,4,317,5,225000000.0
Casa,Pineville,Pinhais,4,3,393,6,224000000.0
Triplex,Riviera,Matinhos,4,7,198,7,220000000.0
Cobertura,Bacacheri,Curitiba,2,3,205,1,220000000.0
Sobrado,Alto Da Rua Xv,Curitiba,5,4,305,4,220000000.0
Casa,Brasília,Pato Branco,2,4,383,4,220000000.0
Sobrado,Praia De Leste,Pontal Do Paraná,3,6,323,4,220000000.0
Casa,Estrela,Ponta Grossa,5,3,424,2,220000000.0
Sobrado,Capão Da Imbuia,Curitiba,1,4,399,2,219900000.0
Casa,Barreirinha,Curitiba,3,3,276,4,218700000.0
Apartamento,Centro,Balneário Piçarras,0,3,252,3,215000000.0
Casa,Centro,Garuva,2,3,300,1,212000000.0
Casa,Rebouças,Curitiba,14,3,457,3,210000000.0
Apartamento,Meia Praia,Itapema,3,8,173,0,202000000.0
Casa,Santo Inácio,Curitiba,1,3,350,4,200000000.0
Casa,Vista Alegre,Curitiba,8,7,505,5,200000000.0
Sobrado,La Salle,Pato Branco,4,4,400,3,199800000.0
Casa,Água Verde,Curitiba,8,4,604,4,199000000.0
Sobrado,La Salle,Pato Branco,2,4,313,5,199000000.0
Casa,Portão,Curitiba,3,4,310,4,198000000.0
Casa,Seminário,Curitiba,4,4,265,4,198000000.0
Apartamento,Juvevê,Curitiba,2,4,347,5,198000000.0
Casa,Jardim Botânico,Curitiba,0,4,397,4,198000000.0
Casa,Santa Felicidade,Curitiba,3,7,375,6,195500000.0
Casa,Cachoeira,Curitiba,10,3,396,1,195000000.0
Casa,Santo Inácio,Curitiba,3,4,310,3,195000000.0
Casa,Mercês,Curitiba,8,5,440,2,195000000.0
Casa,Cachoeira,Curitiba,10,3,454,2,195000000.0
Apartamento,Itapema Do Norte,Itapoá,2,3,174,4,191000000.0
Casa,Butiatuvinha,Curitiba,0,3,355,2,190000000.0
Casa,Boa Vista,Curitiba,7,3,340,4,190000000.0
Cobertura,Centro,Ponta Grossa,2,4,234,3,190000000.0
Casa,São Braz,Curitiba,4,4,230,4,190000000.0
Casa,La Salle,Pato Branco,2,3,300,5,189000000.0
Sobrado,Cristo Rei,Curitiba,3,3,280,3,189000000.0
Casa,Fraron,Pato Branco,4,4,283,2,189000000.0
Casa,Boa Vista,Curitiba,4,5,460,4,189000000.0
Casa,São Francisco,Curitiba,4,3,312,4,187000000.0
Casa,Sítio Cercado,Curitiba,4,4,274,4,185000000.0
Casa,Campo Largo Da Roseira,São José Dos Pinhais,1,5,370,2,185000000.0
Sobrado,Bairro Alto,Curitiba,3,3,815,4,185000000.0
Apartamento,Ahú,Curitiba,2,4,263,4,185000000.0
Casa,Boqueirão,Curitiba,0,3,250,4,185000000.0
Casa,Umbará,Curitiba,3,4,301,3,185000000.0
Apartamento,Bigorrilho,Curitiba,2,3,199,3,184900000.0
Apartamento,Centro,Ponta Grossa,2,3,283,3,183000000.0
Apartamento,Mossunguê,Curitiba,1,2,95,1,180551100.0
Casa,Boqueirão,Curitiba,10,5,780,3,180000000.0
Casa,Atuba,Curitiba,3,3,329,4,180000000.0
Casa,Água Verde,Curitiba,3,4,270,4,180000000.0
Casa,Jardim Carvalho,Ponta Grossa,2,7,279,1,180000000.0
Casa,Weissópolis,Pinhais,0,0,245,0,180000000.0
Casa,Centro,Pinhais,4,3,205,2,180000000.0
Cobertura,Centro,Pato Branco,2,3,373,3,180000000.0
Sobrado,Santa Quitéria,Curitiba,4,4,238,3,180000000.0
Casa,Pinheiros,Pato Branco,4,4,377,2,179900000.0
Sobrado,Uberaba,Curitiba,0,3,400,3,179000000.0
Sobrado,São Gabriel,Colombo,2,3,294,3,179000000.0
Casa,Uberaba,Curitiba,5,5,350,4,179000000.0
Casa,Campina Do Siqueira,Curitiba,6,3,505,6,179000000.0
Casa,Parzianello,Pato Branco,2,3,228,3,178000000.0
Casa,Industrial,Pato Branco,2,3,270,3,177000000.0
Casa,Jardim Social,Curitiba,3,4,300,6,177000000.0
Casa,Centro,Curitiba,5,3,250,1,175000000.0
Apartamento,Bigorrilho,Curitiba,2,3,196,1,174900000.0
Casa,Boa Vista,Curitiba,3,6,437,2,174000000.0
Apartamento,Alto Da Glória,Curitiba,2,2,159,3,173250000.0
Cobertura,Caioba,Matinhos,2,3,168,3,172500000.0
Casa,São Luiz,Pato Branco,3,3,265,3,172000000.0
Casa,Bacacheri,Curitiba,1,4,181,2,170000000.0
Casa,Santa Felicidade,Curitiba,4,4,247,4,170000000.0
Casa,Jardim América,Pato Branco,4,4,290,4,170000000.0
Apartamento,Centro,Pato Branco,2,3,263,4,170000000.0
Apartamento,Batel,Curitiba,2,3,262,3,170000000.0
Sobrado,Uberaba,Curitiba,4,3,286,2,170000000.0
Apartamento,Batel,Curitiba,2,4,386,4,170000000.0
Apartamento,Vila Izabel,Curitiba,0,4,123,4,169849034.0
Apartamento,Juvevê,Curitiba,3,3,245,3,169000000.0
Casa,Atuba,Curitiba,0,4,305,0,169000000.0
Casa,Emiliano Perneta,Pinhais,4,4,248,4,169000000.0
Apartamento,Centro,Bombinhas,2,3,111,3,168390826.0
Casa,Jardim Das Américas,Curitiba,7,5,305,5,168000000.0
Sobrado,Dos Estados,Guarapuava,3,4,370,5,168000000.0
Apartamento,Centro,São José Dos Pinhais,2,3,208,2,168000000.0
Sobrado,Colônia Dona Luíza,Ponta Grossa,2,4,310,5,168000000.0
Casa,La Salle,Pato Branco,4,4,360,2,166500000.0
Sobrado,Vila Izabel,Curitiba,2,3,213,4,165000000.0
Sobrado,Parque Do Som,Pato Branco,2,3,322,3,165000000.0
Triplex,Vila Izabel,Curitiba,2,3,213,4,165000000.0
Sobrado,Santo Inácio,Curitiba,3,3,253,5,165000000.0
Sobrado,Vila Izabel,Curitiba,2,3,195,5,165000000.0
Casa,Vila Izabel,Curitiba,2,3,195,4,165000000.0
Sobrado,São Francisco,Curitiba,3,4,234,5,165000000.0
Sobrado,Vila Izabel,Curitiba,2,3,213,4,165000000.0
Casa,Bairro Alto,Curitiba,6,3,296,3,165000000.0
Sobrado,Vila Izabel,Curitiba,2,3,195,5,165000000.0
Apartamento,Caioba,Matinhos,2,3,133,2,165000000.0
Casa,São Lourenço,Curitiba,4,4,245,2,161000000.0
Casa,Parzianello,Pato Branco,2,3,180,2,160000000.0
Casa,Jardim Schaffer,Curitiba,2,4,350,0,160000000.0
Casa,Menino Deus,Pato Branco,4,3,350,3,160000000.0
Sobrado,Ahú,Curitiba,2,2,254,4,160000000.0
Casa,Jardim Moinho Velho,Colombo,5,3,390,2,160000000.0
Sobrado,Cristo Rei,Pato Branco,2,3,252,4,160000000.0
Casa,Xaxim,Curitiba,2,3,295,3,160000000.0
Apartamento,Caioba,Matinhos,2,3,184,2,160000000.0
Casa,Jardim Primavera,Pato Branco,4,4,251,0,159800000.0
Casa,Aristocrata,São José Dos Pinhais,4,5,323,5,159500000.0
Apartamento,Caioba,Matinhos,2,3,172,4,159215500.0
Casa,Seminário,Curitiba,3,4,210,4,159000000.0
Sobrado,Rebouças,Curitiba,4,5,290,4,159000000.0
Apartamento,Centro,Pato Branco,2,3,172,4,159000000.0
Casa,Mercês,Curitiba,2,4,326,3,157828400.0
Apartamento,Centro,Pato Branco,2,3,295,4,155162500.0
Sobrado,Guabirotuba,Curitiba,4,4,183,3,155000000.0
Casa,Santa Terezinha,Pato Branco,10,4,214,4,155000000.0
Casa,Portão,Curitiba,2,3,341,2,155000000.0
Sobrado,Balneário Canoas,Pontal Do Paraná,5,3,260,4,154500000.0
Apartamento,Caioba,Matinhos,0,3,170,0,152690200.0
Casa,Jardim Social,Curitiba,2,4,250,4,152000000.0
Casa,Barreirinha,Curitiba,4,3,355,4,152000000.0
Casa,Bacacheri,Curitiba,3,7,450,0,152000000.0
Sobrado,Capão Da Imbuia,Curitiba,6,4,400,2,152000000.0
Casa,Seminário,Curitiba,6,4,146,4,150000000.0
Casa,Parolin,Curitiba,9,3,320,4,150000000.0
Casa,Santo Inacio,Curitiba,6,4,417,5,150000000.0
Casa,Hugo Lange,Curitiba,4,2,585,3,150000000.0
Casa,Oficinas,Ponta Grossa,2,3,220,1,150000000.0
Apartamento,Pereque,Porto Belo,2,2,150,1,150000000.0
Casa,Portão,Curitiba,4,3,430,0,150000000.0
Casa,Centro Cívico,Curitiba,3,3,170,2,150000000.0
Casa,Umbará,Curitiba,2,4,204,5,150000000.0
Sobrado,Umbará,Curitiba,2,3,177,4,150000000.0
Casa,La Salle,Pato Branco,0,0,258,0,150000000.0
Casa,Boa Vista,Curitiba,4,3,218,3,150000000.0
Casa,Guabirotuba,Curitiba,8,6,346,4,150000000.0
Apartamento,Itapema Do Norte,Itapoá,2,3,130,3,149963851.0
Casa,Seminário,Curitiba,3,4,220,0,149900000.0
Casa,Boqueirao,Curitiba,5,3,195,3,149900000.0
Apartamento,Centro,Pato Branco,2,3,260,4,149800000.0
Casa,Centro,Campo Mourão,2,4,140,2,149500000.0
Apartamento,Mossunguê,Curitiba,0,2,88,1,149345900.0
Apartamento,Mossunguê,Curitiba,0,2,88,1,149345900.0
Apartamento,Mossunguê,Curitiba,0,2,95,0,149345900.0
Apartamento,Mossunguê,Curitiba,0,2,95,1,149345900.0
Duplex,Mossunguê,Curitiba,0,2,88,1,149345900.0
Apartamento,Mossunguê,Curitiba,0,1,95,1,149345900.0
Apartamento,Mossunguê,Curitiba,0,2,95,0,149345900.0
Apartamento,Mossunguê,Curitiba,0,2,95,1,149345900.0
Duplex,Ecoville,Curitiba,0,3,134,0,149345900.0
Apartamento,Mossunguê,Curitiba,0,1,95,1,149345900.0
Casa,Capão Da Imbuia,Curitiba,0,3,259,1,149000000.0
Casa,Campininha,Quatro Barras,2,3,300,2,149000000.0
Cobertura,Centro,Ponta Grossa,3,2,366,2,149000000.0
Apartamento,Caioba,Matinhos,1,3,175,1,149000000.0
Casa,Portão,Curitiba,4,5,370,0,149000000.0
Casa,Pinheirinho,Curitiba,3,3,198,3,149000000.0
Apartamento,Bigorrilho,Curitiba,2,4,300,4,148000000.0
Cobertura,Boa Vista,Curitiba,2,3,343,3,148000000.0
Casa,Santa Quitéria,Curitiba,5,3,263,4,148000000.0
Casa,Jardim Social,Curitiba,5,3,300,4,145000000.0
Casa,Oficinas,Ponta Grossa,0,4,300,3,145000000.0
Sobrado,Balneario Gaivotas,Matinhos,2,3,180,3,145000000.0
Casa,Boqueirão,Curitiba,5,5,295,4,145000000.0
Sobrado,Boa Vista,Curitiba,7,4,341,5,145000000.0
Apartamento,Ahú,Curitiba,3,3,312,5,145000000.0
Casa,Jardim Social,Curitiba,3,3,156,2,145000000.0
Casa,São Francisco,Curitiba,6,4,450,1,145000000.0
Apartamento,Seminário,Curitiba,3,3,231,4,145000000.0
Casa,Santa Quitéria,Curitiba,0,3,588,2,144900000.0
Casa,La Salle,Pato Branco,2,3,188,3,144900000.0
Cobertura,Centro,Ponta Grossa,3,4,367,2,144200000.0
Sobrado,Cristo Rei,Curitiba,4,4,239,3,143000000.0
Triplex,São Luiz,Pato Branco,2,3,220,3,143000000.0
Casa,Colônia Dona Luíza,Ponta Grossa,4,3,290,0,143000000.0
Casa,Vila Izabel,Pato Branco,3,3,159,3,143000000.0
Apartamento,Itapema Do Norte,Itapoá,1,3,142,3,142540198.0
Casa,Jardim Botânico,Curitiba,2,4,409,4,142500000.0
Casa,Bom Retiro,Curitiba,4,3,400,4,141000000.0
Apartamento,Centro,Pato Branco,2,3,326,4,140000000.0
Casa,Butiatuvinha,Curitiba,4,6,525,7,140000000.0
Sobrado,Centro,Guaratuba,6,4,124,4,140000000.0
Casa,Bairro Alto,Curitiba,6,4,331,5,140000000.0
Casa,Centro,Guarapuava,2,6,243,4,140000000.0
Casa,Industrial,Pato Branco,2,3,435,0,140000000.0
Casa,Mercês,Curitiba,3,6,350,2,140000000.0
Duplex,Mercês,Curitiba,2,3,210,1,139900000.0
Casa,Umbará,Curitiba,5,3,246,3,139900000.0
Sobrado,Cidade Jardim,São José Dos Pinhais,3,3,167,4,139900000.0
Duplex,Mercês,Curitiba,2,3,210,1,139900000.0
Casa,Parzianello,Pato Branco,2,4,265,5,139800000.0
